"","data_code","death_rate","age","race"
"477","SE_T040_002",NA,"18 to 44 Years","White"
"478","SE_T040_002",NA,"18 to 44 Years","White"
"479","SE_T040_002",NA,"18 to 44 Years","White"
"480","SE_T040_002",NA,"18 to 44 Years","White"
"481","SE_T040_002",NA,"18 to 44 Years","White"
"482","SE_T040_002",NA,"18 to 44 Years","White"
"483","SE_T040_002",NA,"18 to 44 Years","White"
"484","SE_T040_002",NA,"18 to 44 Years","White"
"485","SE_T040_002",NA,"18 to 44 Years","White"
"486","SE_T040_002",NA,"18 to 44 Years","White"
"487","SE_T040_002",NA,"18 to 44 Years","White"
"488","SE_T040_002",NA,"18 to 44 Years","White"
"489","SE_T040_002",NA,"18 to 44 Years","White"
"490","SE_T040_002",NA,"18 to 44 Years","White"
"491","SE_T040_002",NA,"18 to 44 Years","White"
"492","SE_T040_002",NA,"18 to 44 Years","White"
"493","SE_T040_002",NA,"18 to 44 Years","White"
"494","SE_T040_002",NA,"18 to 44 Years","White"
"495","SE_T040_002",NA,"18 to 44 Years","White"
"496","SE_T040_002",NA,"18 to 44 Years","White"
"497","SE_T040_002",NA,"18 to 44 Years","White"
"498","SE_T040_002",NA,"18 to 44 Years","White"
"499","SE_T040_002",NA,"18 to 44 Years","White"
"500","SE_T040_002",NA,"18 to 44 Years","White"
"501","SE_T040_002",NA,"18 to 44 Years","White"
"502","SE_T040_002",NA,"18 to 44 Years","White"
"503","SE_T040_002",NA,"18 to 44 Years","White"
"504","SE_T040_002",NA,"18 to 44 Years","White"
"505","SE_T040_002",NA,"18 to 44 Years","White"
"506","SE_T040_002",NA,"18 to 44 Years","White"
"507","SE_T040_002",NA,"18 to 44 Years","White"
"508","SE_T040_002",NA,"18 to 44 Years","White"
"509","SE_T040_002",NA,"18 to 44 Years","White"
"510","SE_T040_002",NA,"18 to 44 Years","White"
"511","SE_T040_002",NA,"18 to 44 Years","White"
"512","SE_T040_002",NA,"18 to 44 Years","White"
"513","SE_T040_002",NA,"18 to 44 Years","White"
"514","SE_T040_002",NA,"18 to 44 Years","White"
